ORF,ranks,weighted_rank
YCL061C,329,0.446139148
YCL063W,112,0.394456957
YCL064C,402,0.340377691
YCL065W,5,0.453053053
YCL066W,99,0.392362059
YCL067C,173,0.340635433
YCL068C,99,0.327691328
YCL069W,335,0.248457413
YCL073C,373,0.247397532
YCL076W,1,0.196196196
YCR001W,142,0.218972494
YCR002C,310,0.318331234
YCR003W,578,0.438015871
YCR004C,254,0.260583418
YCR005C,759,0.333366304
YCR006C,5,0.347347347
YCR007C,62,0.401062353
YCR008W,379,0.283246307
YCR009C,456,0.329551042
YCR010C,180,0.338282727
YCR011C,343,0.293482987
YCR012W,1641,0.357425067
YCR013C,73,0.418212733
YCR014C,201,0.340036554
YCR015C,59,0.36998015
YCR016W,304,0.429054054
YCR017C,218,0.342636214
YCR018C,282,0.24913566
YCR018C-A,6,0.682349016
YCR019W,279,0.274755042
YCR020C,461,0.313024521
YCR020C-A,235,0.330658318
YCR020W-B,127,0.381452318
YCR021C,260,0.303203203
YCR022C,31,0.590041655
YCR023C,115,0.334151543
YCR024C,619,0.297441222
YCR024C-A,216,0.225994513
YCR024C-B,50,0.391831832
YCR025C,12,0.451201201
YCR026C,158,0.337679452
YCR027C,465,0.315315315
YCR028C,242,0.327513464
YCR028C-A,95,0.341172752
YCR030C,73,0.414949196
YCR031C,790,0.574459269
YCR032W,286,0.324499324
YCR033W,411,0.345552365
YCR034W,338,0.283499476
YCR035C,283,0.31172869
YCR036W,411,0.332590498
YCR037C,212,0.281913989
YCR038C,197,0.366407016
YCR038W-A,1,0.78978979
YCR039C,149,0.357532029
YCR040W,104,0.361948487
YCR041W,8,0.393643644
YCR042C,276,0.418799234
YCR043C,62,0.386515548
YCR044C,230,0.309309309
YCR045C,257,0.296670211
YCR045W-A,1,0.970970971
YCR046C,631,0.433197064
YCR047C,625,0.400307508
YCR047W-A,29,0.363501432
YCR048W,341,0.348136993
YCR049C,1,0.171171171
YCR050C,5,0.2004004
YCR051W,534,0.241612399
YCR052W,252,0.365099226
YCR053W,643,0.301256155
YCR054C,73,0.268473953
YCR057C,689,0.556802085
YCR059C,163,0.2762947
YCR060W,446,0.269978499
YCR061W,85,0.274863098
YCR063W,306,0.444254712
YCR064C,1,0.933933934
YCR065W,506,0.283853023
YCR066W,383,0.436674272
YCR067C,134,0.33653056
YCR068W,211,0.425567748
YCR069W,373,0.255555824
YCR071C,231,0.541216541
YCR072C,626,0.558018082
YCR073C,177,0.339135746
YCR073W-A,327,0.300156426
YCR075C,125,0.350782783
YCR075W-A,51,0.421931736
YCR076C,48,0.324824825
YCR077C,319,0.467263502
YCR079W,370,0.269826583
YCR081C-A,1,0.787787788
YCR081W,261,0.397186458
YCR082W,68,0.503783195
YCR083W,567,0.269931307
YCR084C,646,0.349065784
YCR085W,1,0.630630631
YCR086W,200,0.395375375
YCR087C-A,496,0.469798427
YCR087W,27,0.431950469
YCR088W,287,0.39403515
YCR089W,158,0.332180282
YCR090C,75,0.306466466
YCR091W,189,0.32115184
YCR092C,334,0.383572195
YCR093W,563,0.345960525
YCR094W,235,0.415743403
YCR095C,88,0.324574575
YCR095W-A,9,0.260037816
YCR096C,101,0.343838888
YCR097W,152,0.368743744
YCR097W-A,13,0.440825441
YCR098C,148,0.343140438
YCR099C,112,0.255505506
YCR100C,109,0.238807615
YCR101C,148,0.334361388
YCR102C,161,0.311870877
YCR102W-A,26,0.386116886
YCR104W,138,0.443711828
YCR105W,233,0.338836691
YCR106W,164,0.351680949
YCR107W,141,0.292917031
YCR108C,25,0.595595596
YDL001W,37,0.246110976
YDL002C,322,0.339056448
YDL003W,553,0.360249943
YDL004W,610,0.36973695
YDL005C,176,0.396777459
YDL006W,571,0.335808663
YDL007C-A,13,0.354585355
YDL007W,688,0.351498301
YDL008W,313,0.376718572
YDL009C,15,0.453520187
YDL010W,191,0.292391868
YDL011C,29,0.456767112
YDL012C,129,0.344996159
YDL013W,310,0.428806226
YDL014W,1096,0.512970087
YDL015C,314,0.296675657
YDL016C,34,0.289083201
YDL017W,471,0.386700926
YDL018C,95,0.307718245
YDL019C,241,0.302256613
YDL020C,489,0.343089511
YDL021W,353,0.334535669
YDL022C-A,2,0.951451451
YDL022W,642,0.304045479
YDL023C,8,0.674674675
YDL024C,150,0.318692025
YDL025C,254,0.287303051
YDL025W-A,1,0.920920921
YDL026W,18,0.532476921
YDL027C,45,0.40771883
YDL028C,449,0.463153577
YDL029W,602,0.329542167
YDL030W,407,0.395616747
YDL031W,783,0.462030357
YDL032W,1,0.970970971
YDL033C,581,0.289013626
YDL034W,12,0.641141141
YDL035C,221,0.360070478
YDL036C,302,0.25575907
YDL037C,50,0.299259259
YDL039C,132,0.370832954
YDL040C,324,0.281889915
YDL041W,2,0.385885886
YDL042C,752,0.396425681
YDL043C,422,0.429787608
YDL044C,77,0.421785422
YDL045C,239,0.290164642
YDL045W-A,154,0.610623611
YDL046W,100,0.298898899
YDL047W,710,0.364986113
YDL048C,291,0.248581915
YDL049C,56,0.321357071
YDL050C,29,0.247488868
YDL051W,921,0.383513807
YDL052C,342,0.375056343
YDL053C,76,0.395619304
YDL054C,84,0.325396825
YDL055C,634,0.282364383
YDL056W,872,0.308376037
YDL057W,221,0.223146223
YDL058W,409,0.349782545
YDL059C,284,0.411231654
YDL060W,710,0.547292363
YDL061C,583,0.554032592
YDL062W,2,0.57007007
YDL063C,425,0.501134075
YDL064W,840,0.332854283
YDL065C,204,0.413128815
YDL066W,450,0.374436659
YDL067C,185,0.430170711
YDL069C,118,0.406550618
YDL070W,612,0.376968472
YDL071C,22,0.336290836
YDL072C,302,0.311858216
YDL073W,15,0.581848515
YDL074C,522,0.342104557
YDL075W,550,0.593855674
YDL076C,104,0.478497728
YDL077C,422,0.358353614
YDL078C,804,0.32435047
YDL079C,835,0.254624685
YDL080C,195,0.422766356
YDL081C,507,0.506692096
YDL082W,659,0.545800732
YDL083C,776,0.518524968
YDL084W,962,0.335755714
YDL085C-A,29,0.441130786
YDL085W,475,0.354780043
YDL086C-A,1,0.970970971
YDL086W,142,0.260711416
