,genes,smf,dmf,rank,positive_rank,negative_rank,positive_weighted_rank,negative_weighted_rank,absolute_weighted_rank
4363,YNL008C,1.015699999999935,0.00018023203154055929,5217.0,0.2871943701567454,-0.3629762448480083,5.5049716342101855e-05,-6.95756651040844e-05,0.00012462538144618622
4364,YNL009W,1.0365000000001188,0.00018447747055140503,5213.0,0.2695719984712796,-0.29972145632959546,5.1711490211256394e-05,-5.749500409161624e-05,0.00010920649430287264
4365,YNL010W,0.9997000000001168,0.00017746121144433463,5158.0,0.3098983121201078,-0.34913412045455994,6.008109967431327e-05,-6.768788686594803e-05,0.0001277689865402613
4366,YNL011C,1.0216999999999112,0.0001793001319012363,3891.0,0.2213752391957711,-0.1954477582420082,5.689417609760245e-05,-5.023072686764538e-05,0.00010712490296524782
4367,YNL012W,0.9970000000001128,0.0001769782471331953,5157.0,0.3028678621946403,-0.34393250012861465,5.8729467169796445e-05,-6.6692359924106e-05,0.00012542182709390244
4368,YNL013C,0.8890000000000337,0.00015467269843518966,4055.0,0.35739623571347473,-0.3926514980400989,8.813717280233655e-05,-9.683144218004904e-05,0.0001849686149823856
4369,YNL014W,1.0208000000000583,0.00018162014180783776,5064.0,0.23128193431446484,-0.29395652734312794,4.5671787976790056e-05,-5.8048287390033155e-05,0.00010372007536682322
4370,YNL015W,1.0005000000000877,0.0001777435291042493,5148.0,0.2789017609639873,-0.311120430611508,5.417672124397578e-05,-6.04352040814895e-05,0.00011461192532546529
4371,YNL016W,0.9129999999997886,0.00016203379849005195,5211.0,0.4132106968437987,-0.45209448631581,7.929585431659925e-05,-8.675772141926886e-05,0.0001660535757358681
4372,YNL018C,0.9835000000000126,0.00015672139170234224,548.0,0.04100170033125157,-0.05001039316616036,7.482062104242988e-05,-9.125984154408824e-05,0.00016608046258651812
4373,YNL019C,0.9990000000000144,0.0001595126937845022,543.0,0.036261706379680125,-0.042704748210061684,6.678030640825071e-05,-7.864594513823516e-05,0.00014542625154648586
4374,YNL020C,1.0552999999999886,0.00018789295162578257,5199.0,0.2817028651920264,-0.2983264573518229,5.418404793076098e-05,-5.7381507472941515e-05,0.00011156555540370249
4375,YNL021W,0.6880000000000828,0.0001223395776945961,5186.0,0.4494653747326113,-0.4228562846061011,8.666898857165664e-05,-8.153804176747032e-05,0.00016820703033912696
4376,YNL022C,1.012300000000134,0.0001801312094977386,5086.0,0.31019236674048595,-0.3239152773959625,6.098945472679629e-05,-6.368762827289865e-05,0.00012467708299969494
4377,YNL023C,1.0172000000000558,0.00018080912471453688,5106.0,0.2597362470850457,-0.3003645554492412,5.086883021642101e-05,-5.8825804044113035e-05,0.00010969463426053405
4378,YNL024C,1.0155000000001977,0.00018068845047710682,5119.0,0.26472595232632296,-0.29010443352028603,5.17143880301471e-05,-5.6672090939692506e-05,0.00010838647896983962
4379,YNL025C,0.5664999999999504,0.00010330288852856304,4118.0,0.2843943972070915,-0.28043693835759564,6.906129121104698e-05,-6.810027643457883e-05,0.00013716156764562583
4380,YNL027W,1.0141999999998204,0.00018055952084079392,5172.0,0.286198006223338,-0.3129891531279349,5.5336041419825584e-05,-6.051607755760536e-05,0.00011585211897743096
4381,YNL028W,1.0090000000000132,0.00017636677840054144,3953.0,0.1729094521018111,-0.1758302140849943,4.374132357748826e-05,-4.4480195822158945e-05,8.82215193996472e-05
4382,YNL029C,0.9661999999999216,0.00016920416704556057,4002.0,0.1907599338721378,-0.1924447925353624,4.766615039283803e-05,-4.808715455656232e-05,9.575330494940034e-05
4383,YNL030W,1.0267000000001492,0.00018277551845998692,5167.0,0.2693724919559101,-0.2995372765868193,5.213324791095608e-05,-5.7971216680243725e-05,0.00011010446459119981
4384,YNL031C,1.0132000000001344,0.00018071090816022914,5064.0,0.2549109869873044,-0.2508190459956489,5.0337872627824705e-05,-4.952982740830349e-05,9.98677000361282e-05
4385,YNL032W,0.9970000000001,0.00017641791128893133,4948.0,0.4605503912655479,-0.5498204395367741,9.307809039319886e-05,-0.00011111973313192683,0.00020419782352512568
4386,YNL033W,1.0019999999999862,0.00018364808210190656,4124.0,0.2841672284805831,-0.24971256680320536,6.890572950547602e-05,-6.055105887565601e-05,0.00012945678838113204
4387,YNL034W,1.002700000000004,0.0001756156896648984,4019.0,0.19255774843795145,-0.20266823138229492,4.7911855794464146e-05,-5.042752709188727e-05,9.833938288635142e-05
4388,YNL035C,1.0118000000001606,0.0001802100597782796,5013.0,0.2626318205833625,-0.2480216379316909,5.2390149727381296e-05,-4.9475690790283445e-05,0.00010186584051766476
4389,YNL036W,1.0039999999999307,0.0001833102793404361,4134.0,0.2537311680715213,-0.2821370326241339,6.137667345706854e-05,-6.824795177168212e-05,0.0001296246252287507
4390,YNL037C,0.8692000000000771,0.00015504867507136526,5165.0,0.3873448367216445,-0.3481165427541967,7.499416006227385e-05,-6.739913702888608e-05,0.0001423932970911599
4391,YNL038W,0.8712229992022367,0.00015271935098057715,5127.0,0.3757169815395682,-0.4174050675597528,7.328203267789509e-05,-8.141312025741228e-05,0.00015469515293530734
4392,YNL039W,0.7590000000000051,0.00012046963086876504,543.0,0.0495034300513064,-0.05868019948686666,9.116653784770977e-05,-0.00010806666572166972,0.0001992332035693795
4393,YNL040W,1.0361999999997809,0.00018404514783105776,5100.0,0.3105997749533609,-0.3508463491087847,6.0901916657521744e-05,-6.879340178603622e-05,0.00012969531844355797
4394,YNL041C,0.9457000000001586,0.00016689923610041564,5177.0,0.34479914596616273,-0.499683546570045,6.66021143454052e-05,-9.651990468805196e-05,0.00016312201903345716
