max_5_ind_1,max_5_ind_2,max_5_ind_3,max_5_ind_4,max_5_ind_5
3710,5385,6648,87,344
1691,1972,3775,273,288
2266,2647,4638,3998,3939
4503,5586,1645,4089,1344
4002,2065,5550,4476,2334
2432,6014,1905,6703,451
1367,6482,1925,1530,3169
787,1173,2342,2103,4192
2143,1463,4740,3161,4281
2534,2829,2466,694,1336
1161,981,146,314,5418
3292,4292,726,6507,925
3779,5557,3248,541,2254
-2,-2,-2,-2,-2
5855,5059,418,3035,6010
3984,2196,3537,4311,3723
4784,5274,288,6407,2773
893,-2,-2,-2,-2
892,6516,1283,1731,5113
6296,6419,1772,596,2112
215,3745,4980,1843,5749
4270,591,3996,5863,3594
1332,2097,5552,1320,6363
4740,386,423,2855,1585
881,1986,1530,4702,5254
1391,183,2418,472,970
6187,2314,2834,2231,424
2097,2264,5826,1076,5417
3112,5948,5336,909,4427
846,6560,2456,2124,6415
2372,4442,2131,4281,2633
961,3466,5521,3114,4240
4213,5693,1960,4419,1090
963,2913,2062,2199,971
3931,1580,5336,4045,903
2288,16,5747,4778,6313
4335,6635,5205,3142,1880
846,298,446,6560,1804
3526,1865,1212,1006,1650
806,3703,1548,2905,5783
3714,2515,5142,257,5608
2369,3812,2916,3724,5892
5485,2672,489,5529,479
585,6602,2868,2483,279
3265,1234,3559,1263,3371
2046,2609,6586,5823,6143
3097,2234,5413,6166,2084
2882,128,2764,1099,5925
3258,4699,6009,2777,1739
3327,5066,3769,522,5000
4346,5365,2049,2277,6507
5471,6569,5273,3817,5955
926,289,1483,2635,3848
929,-2,-2,-2,-2
5559,3327,1428,2268,4300
6326,2712,2280,4931,2351
2094,424,398,4748,4788
87,5438,3438,5831,2656
3407,3170,637,4065,2571
933,-2,-2,-2,-2
4065,-2,-2,-2,-2
138,2410,5960,1142,2851
3764,3859,6704,856,113
1639,6588,751,5236,3384
5643,3208,3352,922,1352
5366,172,2305,3212,2934
940,1998,5805,942,-2
943,1465,3214,944,3922
344,3785,3563,5385,87
5414,6530,3054,22,1798
